time,V1,V2,V3,V4,V5,V6,V7,V8,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,SOC7,SOC8,I1,I2,I3,I4,I5,I6,I7,I8,T1,T2,T3,T4,T5,T6,T7,T8
1735,25.8118652176472,25.6957737143474,25.712596190122,25.811590124169,25.712596190122,25.8115901241689,25.6957737143474,25.7128420085148,0.530252968964279,0.430205173274655,0.48020502360256,0.530204686868865,0.480205023602538,0.530204686868782,0.430205173274655,0.480253137325652,-1.0002839305174,-1.00056530702171,-1.00056567711618,-1.00056785498274,-1.00056567711617,-1.00056785498274,-1.00056530702171,-1.00028284126209,28.7709906670433,28.0393938587054,30.9981533146069,28.7731767744442,30.9981533146445,28.7731767744609,28.0393938587054,30.9958679866432
1736,25.811786701119,25.6957407878563,25.7125632630827,25.811511568274,25.7125632630828,25.8115115682739,25.6957407878563,25.712809095361,0.530155132116657,0.43010730890585,0.480107159197556,0.530106822250896,0.480107159197535,0.530106822250813,0.43010730890585,0.480155300584544,-1.00028392965372,-1.00056530629733,-1.00056567639178,-1.00056785325451,-1.00056567639178,-1.00056785325451,-1.00056530629733,-1.00028284090005,28.7732514925528,28.0417713203222,31.0005052176497,28.7754389443914,31.0005052176872,28.7754389444082,28.0417713203222,30.9982185354423
1737,25.811708184591,25.6957078613652,25.7125303360696,25.8114330123793,25.7125303360696,25.8114330123793,25.6957078613653,25.7127761822338,0.53005729526912,0.430009444537116,0.480009294792624,0.530008957633096,0.480009294792603,0.530008957633012,0.430009444537116,0.480057463843473,-1.00028392879004,-1.00056530557294,-1.00056567566739,-1.00056785152628,-1.00056567566738,-1.00056785152628,-1.00056530557294,-1.000282840538,28.7755124409284,28.0441488319644,31.002857170721,28.7777012373055,31.0028571707585,28.7777012373223,28.0441488319644,31.0005691342292
1738,25.8116296680632,25.6956749348743,25.7124974090814,25.8113544564851,25.7124974090813,25.811354456485,25.6956749348743,25.712743269132,0.529959458421667,0.429911580168453,0.479911430387762,0.529911093015464,0.479911430387741,0.529911093015381,0.429911580168453,0.479959627102436,-1.00028392792635,-1.00056530484856,-1.00056567494299,-1.00056784979805,-1.00056567494299,-1.00056784979805,-1.00056530484856,-1.00028284017596,28.7777735121701,28.0465263936321,31.0052091738207,28.7799636531865,31.0052091738582,28.7799636532033,28.0465263936321,31.0029197830038
1739,25.8115511515356,25.6956420083833,25.7124644821167,25.8112759005911,25.7124644821166,25.8112759005911,25.6956420083834,25.7127103560543,0.529861621574299,0.429813715799861,0.479813565982972,0.529813228398002,0.47981356598295,0.529813228397919,0.429813715799861,0.479861790361435,-1.00028392706267,-1.00056530412418,-1.0005656742186,-1.00056784806982,-1.0005656742186,-1.00056784806982,-1.00056530412418,-1.00028283981392,28.7800347062779,28.0489040053253,31.0075612269486,28.7822261920344,31.0075612269861,28.7822261920512,28.0489040053253,31.005270481766
1740,25.8114726350082,25.6956090818925,25.7124315551744,25.8111973446975,25.7124315551744,25.8111973446975,25.6956090818925,25.7126774429994,0.529763784727015,0.42971585143134,0.479715701578252,0.529715363780709,0.479715701578231,0.529715363780626,0.42971585143134,0.479763953620469,-1.00028392619899,-1.0005653033998,-1.00056567349421,-1.00056784634159,-1.0005656734942,-1.00056784634159,-1.0005653033998,-1.00028283945187,28.7822960232518,28.051281667044,31.0099133301045,28.7844888538493,31.0099133301421,28.7844888538661,28.051281667044,31.0076212305156
1741,25.8113941184808,25.6955761554017,25.7123986282534,25.8111187888043,25.7123986282534,25.8111187888043,25.6955761554017,25.7126445299663,0.529665947879815,0.42961798706289,0.479617837173603,0.529617499163585,0.479617837173582,0.529617499163501,0.42961798706289,0.479666116879539,-1.00028392533531,-1.00056530267541,-1.00056567276982,-1.00056784461337,-1.00056567276981,-1.00056784461337,-1.00056530267541,-1.00028283908983,28.7845574630917,28.0536593787882,31.0122654832884,28.786751638631,31.012265483326,28.7867516386478,28.0536593787882,31.0099720292525
1742,25.8113156019538,25.6955432289109,25.7123657013527,25.8110402329114,25.7123657013527,25.8110402329114,25.6955432289109,25.7126116169539,0.5295681110327,0.42952012269451,0.479519972769024,0.52951963454663,0.479519972769003,0.529519634546546,0.42952012269451,0.479568280138644,-1.00028392447163,-1.00056530195103,-1.00056567204542,-1.00056784288514,-1.00056567204542,-1.00056784288514,-1.00056530195103,-1.00028283872779,28.7868190257977,28.0560371405577,31.0146176865002,28.7890145463797,31.0146176865379,28.7890145463965,28.0560371405577,31.0123228779765
1743,25.8112370854268,25.6955103024202,25.7123327744712,25.8109616770189,25.7123327744712,25.8109616770188,25.6955103024202,25.712578703961,0.52947027418567,0.429422258326201,0.479422108364517,0.529421769929843,0.479422108364496,0.52942176992976,0.429422258326201,0.479470443397785,-1.00028392360795,-1.00056530122665,-1.00056567132103,-1.0005678411569,-1.00056567132103,-1.00056784115691,-1.00056530122665,-1.00028283836574,28.7890807113698,28.0584149523528,31.0169699397398,28.7912775770953,31.0169699397774,28.7912775771121,28.0584149523528,31.0146737766877
1744,25.8111585689001,25.6954773759296,25.7122998476079,25.8108831211267,25.7122998476079,25.8108831211267,25.6954773759295,25.7125457909869,0.529372437338724,0.429324393957963,0.479324243960081,0.529323905313226,0.47932424396006,0.529323905313143,0.429324393957963,0.479372606656961,-1.00028392274426,-1.00056530050226,-1.00056567059664,-1.00056783942868,-1.00056567059664,-1.00056783942868,-1.00056530050227,-1.0002828380037,28.791342519808,28.0607928141734,31.019322243007,28.7935407307777,31.0193222430447,28.7935407307946,28.0607928141734,31.0170247253857
1745,25.8110800523735,25.695444449439,25.7122669207621,25.8108045652349,25.7122669207621,25.8108045652348,25.6954444494389,25.7125128780304,0.529274600491862,0.429226529589796,0.479226379555715,0.529226040696778,0.479226379555694,0.529226040696695,0.429226529589796,0.479274769916172,-1.00028392188058,-1.00056529977788,-1.00056566987225,-1.00056783770045,-1.00056566987225,-1.00056783770045,-1.00056529977788,-1.00028283764166,28.7936044511123,28.0631707260195,31.0216745963016,28.7958040074272,31.0216745963394,28.795804007444,28.0631707260195,31.0193757240706
1746,25.8110015358471,25.6954115229483,25.7122339939327,25.8107260093434,25.7122339939328,25.8107260093433,25.6954115229483,25.7124799650908,0.529176763645085,0.4291286652217,0.47912851515142,0.5291281760805,0.479128515151399,0.529128176080416,0.4291286652217,0.479176933175419,-1.0002839210169,-1.0005652990535,-1.00056566914786,-1.00056783597222,-1.00056566914786,-1.00056783597222,-1.0005652990535,-1.00028283727962,28.7958665052827,28.065548687891,31.0240269996238,28.7980674070435,31.0240269996616,28.7980674070603,28.065548687891,31.0217267727423
1747,25.8109230193209,25.6953785964578,25.7122010671191,25.8106474534523,25.7122010671191,25.8106474534522,25.6953785964578,25.7124470521672,0.529078926798392,0.429030800853675,0.479030650747196,0.529030311464389,0.479030650747176,0.529030311464306,0.429030800853675,0.479079096434701,-1.00028392015322,-1.00056529832912,-1.00056566842347,-1.00056783424399,-1.00056566842346,-1.00056783424399,-1.00056529832912,-1.00028283691757,28.7981286823193,28.0679266997879,31.0263794529733,28.8003309296267,31.0263794530111,28.8003309296436,28.0679266997879,31.0240778714006
1748,25.8108445027948,25.6953456699673,25.7121681403203,25.8105688975615,25.7121681403203,25.8105688975615,25.6953456699673,25.7124141392588,0.528981089951784,0.42893293648572,0.478932786343043,0.528932446848449,0.478932786343022,0.528932446848365,0.42893293648572,0.478981259694019,-1.00028391928954,-1.00056529760473,-1.00056566769908,-1.00056783251576,-1.00056566769908,-1.00056783251576,-1.00056529760473,-1.00028283655553,28.8003909822219,28.0703047617104,31.02873195635,28.8025945751768,31.0287319563878,28.8025945751937,28.0703047617104,31.0264290200454
1749,25.8107659862689,25.6953127434769,25.7121352135357,25.8104903416711,25.7121352135357,25.810490341671,25.6953127434769,25.7123812263649,0.528883253105261,0.428835072117837,0.478834921938961,0.528834582232677,0.47883492193894,0.528834582232593,0.428835072117837,0.478883422953372,-1.00028391842585,-1.00056529688035,-1.00056566697469,-1.00056783078753,-1.00056566697469,-1.00056783078753,-1.00056529688035,-1.00028283619349,28.8026534049906,28.0726828736583,31.0310845097539,28.8048583436939,31.0310845097918,28.8048583437107,28.0726828736583,31.0287802186768
