time,V1,V2,V3,V4,V5,V6,V7,V8,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,SOC7,SOC8,I1,I2,I3,I4,I5,I6,I7,I8,T1,T2,T3,T4,T5,T6,T7,T8
874,27.5730119123622,27.5530176674528,27.5727849676767,27.4525482716256,27.5727849676767,27.4525482716256,27.5481114743465,27.4527830263476,0.735459229246803,0.6854334949782,0.735433325934126,0.78543351984737,0.735433325934154,0.785433519847338,0.835433317508056,0.785459326214486,0.999696696868934,0.999393833611376,0.999393398730675,0.999396043938036,0.9993933987307,0.999396043938033,0.99939394154756,0.999698019386713,28.9833013922479,25.990798628094,28.9821083428786,26.8520919900382,28.9821083428786,26.8520919900268,26.8971630333053,26.8532110608784
875,27.5729774568077,27.5532322630513,27.572750535681,27.4525628961454,27.572750535681,27.4525628961454,27.5481051826874,27.452797652736,0.735557008657704,0.685531244766077,0.735531075679735,0.785531269851652,0.735531075679763,0.785531269851619,0.835531067306728,0.785557105754716,0.999696697247945,0.999393828890273,0.999393399488179,0.999396043616297,0.999393399488203,0.999396043616294,0.999393941685977,0.999698019225823,28.9855521041603,25.993089348848,28.984357721799,26.854219209883,28.9843577217991,26.8542192098715,26.8993191091814,26.8553395664289
876,27.5729430012495,27.5534468586488,27.5727161036815,27.4525775206652,27.5727161036815,27.4525775206652,27.5480988910282,27.4528122791244,0.735654788068643,0.685628994553492,0.735628825425419,0.785629019855902,0.735628825425446,0.78562901985587,0.835628817105412,0.785654885294929,0.999696697626956,0.99939382416917,0.999393400245683,0.999396043294557,0.999393400245707,0.999396043294554,0.999393941824393,0.999698019064932,28.9878026939036,25.9953800790618,28.9866069786632,26.8563464297263,28.9866069786633,26.8563464297149,26.9014751443608,26.8574680719786
877,27.5729085456877,27.5536614542453,27.5726816716784,27.452592145185,27.5726816716784,27.452592145185,27.5480925993691,27.4528269055128,0.735752567479619,0.685726744340445,0.735726575171176,0.785726769860121,0.735726575171204,0.785726769860089,0.835726566904111,0.785752664835128,0.999696698005967,0.999393819448067,0.999393401003187,0.999396042972818,0.999393401003211,0.999396042972815,0.999393941962809,0.999698018904042,28.990053161478,25.9976708187355,28.9888561134713,26.8584736495682,28.9888561134713,26.8584736495569,26.9036311388435,26.8595965775277
878,27.5728740901223,27.5538760498407,27.5726472396717,27.4526067697048,27.5726472396716,27.4526067697048,27.5480863077099,27.4528415319012,0.735850346890632,0.685824494126936,0.735824324917008,0.785824519864308,0.735824324917035,0.785824519864276,0.835824316702823,0.78585044437531,0.999696698384979,0.999393814726964,0.999393401760691,0.999396042651079,0.999393401760716,0.999396042651075,0.999393942101225,0.999698018743152,28.9923035068833,25.9999615678691,28.991105126223,26.8606008694088,28.9911051262231,26.8606008693974,26.9057870926295,26.8617250830762
879,27.5728396345536,27.5540906454351,27.5726128076615,27.4526213942246,27.5726128076615,27.4526213942246,27.5480800160508,27.4528561582896,0.735948126301682,0.685922243912966,0.735922074662913,0.785922269868464,0.735922074662941,0.785922269868432,0.835922066501548,0.785948223915476,0.99969669876399,0.999393810005861,0.999393402518195,0.999396042329339,0.999393402518219,0.999396042329335,0.999393942239641,0.99969801858226,28.9945537301195,26.0022523264624,28.9933540169185,26.862728089248,28.9933540169185,26.8627280892367,26.9079430057187,26.8638535886239
880,27.5728051789817,27.5543052410285,27.5725783756479,27.4526360187444,27.572578375648,27.4526360187444,27.5480737243916,27.452870784678,0.736045905712769,0.686019993698533,0.736019824408893,0.786020019872589,0.736019824408921,0.786020019872557,0.836019816300287,0.786046003455627,0.999696699143001,0.999393805284758,0.9993934032757,0.999396042007599,0.999393403275724,0.999396042007595,0.999393942378058,0.99969801842137,28.9968038311866,26.0045430945157,28.9956027855577,26.8648553090859,28.9956027855577,26.8648553090745,26.9100988781113,26.8659820941709
881,27.5727707234066,27.5545198366207,27.5725439436312,27.4526506432643,27.5725439436312,27.4526506432643,27.5480674327324,27.4528854110664,0.736143685123892,0.68611774348364,0.736117574154947,0.786117769876682,0.736117574154974,0.786117769876649,0.83611756609904,0.786143782995762,0.999696699522012,0.999393800563655,0.999393404033204,0.99939604168586,0.999393404033228,0.999396041685857,0.999393942516475,0.999698018260481,28.9990538100846,26.0068338720288,28.9978514321405,26.8669825289224,28.9978514321405,26.866982528911,26.9122547098071,26.8681105997173
882,27.5727362678283,27.554734432212,27.5725095116113,27.4526652677841,27.5725095116114,27.4526652677841,27.5480611410732,27.4529000374548,0.736241464535054,0.686215493268284,0.736215323901075,0.786215519880743,0.736215323901102,0.786215519880711,0.836215315897807,0.786241562535882,0.999696699901024,0.999393795842552,0.999393404790708,0.999396041364121,0.999393404790733,0.999396041364117,0.999393942654891,0.99969801809959,29.0013036668134,26.0091246590018,29.0000999566669,26.8691097487575,29.000099956667,26.8691097487462,26.9144105008063,26.870239105263
883,27.5727018122471,27.5549490278022,27.5724750795885,27.4526798923039,27.5724750795885,27.4526798923039,27.548054849414,27.4529146638432,0.736339243946252,0.686313243052466,0.736313073647277,0.786313269884774,0.736313073647304,0.786313269884741,0.836313065696586,0.786339342075985,0.999696700280035,0.999393791121449,0.999393405548213,0.999396041042381,0.999393405548237,0.999396041042378,0.999393942793308,0.999698017938701,29.0035534013732,26.0114154554346,29.0023483591371,26.8712369685912,29.0023483591372,26.8712369685799,26.9165662511087,26.872367610808
