sample,current_A,voltage_min_V,voltage_mean_V,voltage_max_V,voltage_spread_mV,temperature_min_C,temperature_mean_C,temperature_max_C,consistency_proxy_percent,soc_mean_percent,soc_min_percent,soc_max_percent
100,133.0,3.242,3.24500005,3.246,4.0000000000000036,30.0,30.5,31.0,99.296668,9.660192765295506,8.880716562271118,10.309867560863495
101,134.69995,3.246,3.2491251374999996,3.2500002,4.00020000000012,30.0,30.5,31.0,99.300001,9.660192765295506,8.880716562271118,10.309867560863495
102,126.19995,3.2450001,3.2478750374999996,3.249,3.999900000000167,30.0,30.5,31.0,99.30000033333333,9.660192765295506,8.880716562271118,10.309867560863495
103,132.40015,3.242,3.2443751124999998,3.246,4.0000000000000036,30.0,30.5,31.0,99.29666733333333,9.660192765295506,8.880716562271118,10.309867560863495
104,125.6001,3.2430003,3.2461251749999995,3.2470002,3.999900000000167,30.0,30.625,31.0,99.296667,9.660192765295506,8.880716562271118,10.309867560863495
105,111.30005,3.2430003,3.2457501374999995,3.2470002,3.999900000000167,30.0,30.625,31.0,99.30000133333333,9.660192765295506,8.880716562271118,10.309867560863495
106,136.40015,3.2410002,3.2437501374999997,3.2450001,3.999899999999723,30.0,30.625,31.0,99.30000133333333,9.660192765295506,8.880716562271118,10.309867560863495
107,116.40015,3.246,3.2488751249999996,3.2500002,4.00020000000012,30.0,30.625,31.0,99.30333399999999,9.660192765295506,8.880716562271118,10.309867560863495
108,122.6001,3.2440002,3.2468751374999996,3.2480001,3.999900000000167,30.0,30.625,31.0,99.30333433333334,9.660192765295506,8.880716562271118,10.309867560863495
109,127.30005,3.246,3.2487500999999996,3.2500002,4.00020000000012,30.0,30.625,31.0,99.30666833333335,9.660192765295506,8.880716562271118,10.309867560863495
110,125.30005,3.2450001,3.2481250499999996,3.249,3.999900000000167,30.0,30.625,31.0,99.31000133333333,10.222149640321732,9.442088007926941,10.898707807064056
111,124.5,3.2450001,3.2477500874999996,3.249,3.999900000000167,30.0,30.625,31.0,99.31000133333333,10.222149640321732,9.442088007926941,10.898707807064056
112,123.30005,3.2430003,3.2455001249999995,3.2470002,3.999900000000167,30.0,30.625,31.0,99.31000133333333,10.222149640321732,9.442088007926941,10.898707807064056
113,110.30005,3.2450001,3.2476250624999996,3.249,3.999900000000167,30.0,30.625,31.0,99.31333533333333,10.222149640321732,9.442088007926941,10.898707807064056
114,117.0,3.2480001,3.2502501625,3.2510002,3.00009999999995,30.0,30.625,31.0,99.313335,10.222149640321732,9.442088007926941,10.898707807064056
115,111.1001,3.2440002,3.2466251249999996,3.2480001,3.999900000000167,30.0,30.625,31.0,99.313335,10.222149640321732,9.442088007926941,10.898707807064056
116,119.0,3.2440002,3.2463751499999995,3.2470002,3.0000000000001137,30.0,30.625,31.0,99.31333466666666,10.222149640321732,9.442088007926941,10.898707807064056
117,126.0,3.2410002,3.2432501874999997,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.31666866666666,10.222149640321732,9.442088007926941,10.898707807064056
118,122.1001,3.242,3.244750075,3.246,4.0000000000000036,30.0,30.625,31.0,99.32000133333334,10.222149640321732,9.442088007926941,10.898707807064056
119,120.90015,3.2430003,3.2455001249999995,3.2470002,3.999900000000167,30.0,30.625,31.0,99.32333533333333,10.222149640321732,9.442088007926941,10.898707807064056
120,126.30005,3.2430003,3.2450000999999995,3.246,2.9997000000001606,30.0,30.625,31.0,99.326668,10.222149640321732,9.442088007926941,10.898707807064056
121,122.1001,3.242,3.2445000999999998,3.246,4.0000000000000036,30.0,30.625,31.0,99.33333399999998,10.222149640321732,9.442088007926941,10.898707807064056
122,105.90015,3.246,3.2481250499999996,3.2500002,4.00020000000012,30.0,30.625,31.0,99.33333433333334,10.222149640321732,9.442088007926941,10.898707807064056
123,123.5,3.2470002,3.2495001624999995,3.2510002,4.0000000000000036,30.0,30.625,31.0,99.33333433333334,10.222149640321732,9.442088007926941,10.898707807064056
124,109.40015,3.2450001,3.2472500999999996,3.2480001,3.0000000000001137,30.0,30.625,31.0,99.33333433333334,10.222149640321732,9.442088007926941,10.898707807064056
125,105.19995,3.242,3.2440000999999996,3.2450001,3.00009999999995,30.0,30.625,31.0,99.33333433333334,10.222149640321732,9.442088007926941,10.898707807064056
126,124.0,3.2430003,3.2448751124999995,3.246,2.9997000000001606,30.0,30.625,31.0,99.33666733333332,10.222149640321732,9.442088007926941,10.898707807064056
127,123.30005,3.242,3.2437501249999996,3.2450001,3.00009999999995,30.0,30.625,31.0,99.34000033333334,10.222149640321732,9.442088007926941,10.898707807064056
128,109.6001,3.246,3.2475001124999996,3.2480001,2.00010000000006,30.0,30.625,31.0,99.34000033333334,10.222149640321732,9.442088007926941,10.898707807064056
129,114.30005,3.2440002,3.2457501374999995,3.2470002,3.0000000000001137,30.0,30.625,31.0,99.34333366666667,10.222149640321732,9.442088007926941,10.898707807064056
130,104.69995,3.2440002,3.2463751499999995,3.2480001,3.999900000000167,30.0,30.625,31.0,99.34666733333333,9.562209248542786,8.928516507148743,10.213115811347961
131,121.1001,3.2410002,3.2427501875,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.35000033333334,9.562209248542786,8.928516507148743,10.213115811347961
132,105.0,3.2440002,3.2460001499999995,3.2470002,3.0000000000001137,30.0,30.625,31.0,99.35333299999999,9.562209248542786,8.928516507148743,10.213115811347961
133,123.30005,3.2400002,3.242000225,3.2430003,3.00009999999995,30.0,30.625,31.0,99.35333299999999,9.562209248542786,8.928516507148743,10.213115811347961
134,121.1001,3.2450001,3.2470000874999996,3.2480001,3.0000000000001137,30.0,30.625,31.0,99.353332,9.562209248542786,8.928516507148743,10.213115811347961
135,113.80005,3.2430003,3.2447501249999995,3.246,2.9997000000001606,30.0,30.625,31.0,99.35333200000001,9.562209248542786,8.928516507148743,10.213115811347961
136,115.30005,3.2410002,3.2430001624999996,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.35333166666666,9.562209248542786,8.928516507148743,10.213115811347961
137,115.5,3.242,3.2435001499999996,3.2450001,3.00009999999995,30.0,30.625,31.0,99.35666466666666,9.562209248542786,8.928516507148743,10.213115811347961
138,119.30005,3.242,3.2437501249999996,3.2450001,3.00009999999995,30.0,30.625,31.0,99.35666466666666,9.562209248542786,8.928516507148743,10.213115811347961
139,107.5,3.239,3.24037515,3.2410002,2.0002000000003406,30.0,30.625,31.0,99.35999866666667,9.562209248542786,8.928516507148743,10.213115811347961
140,120.6001,3.242,3.2438751624999997,3.2450001,3.00009999999995,30.0,30.625,31.0,99.35666566666667,9.562209248542786,8.928516507148743,10.213115811347961
141,120.0,3.2410002,3.2430002124999997,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.356666,9.562209248542786,8.928516507148743,10.213115811347961
142,118.80005,3.2400002,3.2417501875,3.2430003,3.00009999999995,30.0,30.625,31.0,99.35666599999999,9.562209248542786,8.928516507148743,10.213115811347961
143,119.0,3.242,3.243250125,3.2440002,2.0001999999998965,30.0,30.625,31.0,99.35666466666666,9.562209248542786,8.928516507148743,10.213115811347961
144,114.30005,3.246,3.2468750999999996,3.2480001,2.00010000000006,30.0,30.625,31.0,99.35999766666667,9.562209248542786,8.928516507148743,10.213115811347961
145,100.80005,3.2450001,3.2470001249999996,3.249,3.999900000000167,30.0,30.625,31.0,99.359998,9.562209248542786,8.928516507148743,10.213115811347961
146,126.40015,3.2440002,3.2453750624999995,3.246,1.999800000000107,30.0,30.625,31.0,99.35999833333334,9.562209248542786,8.928516507148743,10.213115811347961
147,100.0,3.2410002,3.2433751749999993,3.2450001,3.999899999999723,30.0,30.625,31.0,99.35333233333334,9.562209248542786,8.928516507148743,10.213115811347961
148,108.5,3.2450001,3.2466251249999996,3.2480001,3.0000000000001137,30.0,30.625,31.0,99.35333266666667,9.562209248542786,8.928516507148743,10.213115811347961
149,121.40015,3.2410002,3.2423751875,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.35666666666665,9.562209248542786,8.928516507148743,10.213115811347961
